No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|1er lot|Nombre de lots|Code type local|Type local|Surface reelle bati|Nombre pieces principales|Year
1|10/08/2020|Vente|30000,00|||B369|LE PORTAIL DE LOKY|13100.0|AIX EN PROVENCE|13|1||KL|123||0|||||2018
1|13/08/2020|Vente|103830,00|9.0|RUE|1640|LOUBON|13100.0|AIX EN PROVENCE|13|1||AC|294|106.0|1|2.0|Appartement|20.0|2.0|2018
1|15/07/2020|Vente en l'état futur d'achèvement|219000,00|||B386|RAVANASSE|13100.0|AIX EN PROVENCE|13|1||LY|577|61.0|1|||||2018
1|15/07/2020|Vente en l'état futur d'achèvement|219000,00|||B386|RAVANASSE|13100.0|AIX EN PROVENCE|13|1||LY|577|13.0|1|||||2018
1|20/08/2020|Vente|55000,00|19.0|CHE|0712|DU COTON ROUGE|13100.0|AIX EN PROVENCE|13|1||BT|125|85.0|1|2.0|Appartement|12.0|1.0|2018
1|14/08/2020|Vente|57000,00|9001.0|RES|A437|LES JARDINS D ARCADIE|13100.0|AIX EN PROVENCE|13|1||BN|102|134.0|2|2.0|Appartement|32.0|1.0|2018
1|13/08/2020|Vente|450000,00|9001.0|RES|A187|LE PARC MOZART|13100.0|AIX EN PROVENCE|13|1||CV|111|1118.0|2|2.0|Appartement|115.0|5.0|2018
1|13/08/2020|Vente|450000,00|9001.0|RES|A187|LE PARC MOZART|13100.0|AIX EN PROVENCE|13|1||CV|111|1032.0|1|3.0|Dépendance|0.0|0.0|2018
1|10/08/2020|Vente|13000,00|2.0|AV|1218|GEORGES BRASSENS|13100.0|AIX EN PROVENCE|13|1||DR|220|42.0|1|3.0|Dépendance|0.0|0.0|2018
1|27/08/2020|Vente|2755700,00|27.0|AV|0872|DES ECOLES MILITAIRES|13100.0|AIX EN PROVENCE|13|1||BH|183||0|1.0|Maison|340.0|7.0|2018
1|27/08/2020|Vente|2755700,00|27.0|AV|0872|DES ECOLES MILITAIRES|13100.0|AIX EN PROVENCE|13|1||BH|183||0|1.0|Maison|340.0|7.0|2018
1|13/08/2020|Vente|177000,00|9001.0|RES|A005|BEAUSOLEIL SAINTE ANNE|13100.0|AIX EN PROVENCE|13|1||BR|25|195.0|2|2.0|Appartement|59.0|3.0|2018
1|06/08/2020|Vente|340000,00|26.0|AV|1370|HENRI PONTIER|13100.0|AIX EN PROVENCE|13|1||CV|90|28.0|1|3.0|Dépendance|0.0|0.0|2018
1|06/08/2020|Vente|340000,00|26.0|AV|1370|HENRI PONTIER|13100.0|AIX EN PROVENCE|13|1||CV|90|43.0|1|2.0|Appartement|67.0|3.0|2018
1|03/08/2020|Vente|32000,00|285.0|CHE|2657|DU ROC FLEURY|13100.0|AIX EN PROVENCE|13|1||BH|246|11.0|1|3.0|Dépendance|0.0|0.0|2018
1|03/07/2020|Vente|320000,00|||B161|DURANTY|13100.0|AIX EN PROVENCE|13|1||OS|548||0|||||2018
1|03/07/2020|Vente|320000,00|2070.0|RTE|2712|DE SAINT CANADET|13100.0|AIX EN PROVENCE|13|1||OS|550||0|1.0|Maison|70.0|4.0|2018
1|13/08/2020|Vente|420000,00|38.0|RUE|3100|VICTOR LEYDET|13100.0|AIX EN PROVENCE|13|1||AM|115|15.0|1|2.0|Appartement|56.0|2.0|2018
1|13/08/2020|Vente|420000,00|38.0|RUE|3100|VICTOR LEYDET|13100.0|AIX EN PROVENCE|13|1||AM|115|18.0|3|2.0|Appartement|79.0|2.0|2018
1|13/08/2020|Vente|420000,00|38.0|RUE|3100|VICTOR LEYDET|13100.0|AIX EN PROVENCE|13|1||AM|115|1.0|2|2.0|Appartement|60.0|2.0|2018
1|13/08/2020|Vente|420000,00|38.0|RUE|3100|VICTOR LEYDET|13100.0|AIX EN PROVENCE|13|1||AM|115|4.0|1|2.0|Appartement|70.0|3.0|2018
1|28/08/2020|Vente|26500,00|11.0|AV|1432|JEAN MOULIN|13100.0|AIX EN PROVENCE|13|1||BA|16|189.0|1|3.0|Dépendance|0.0|0.0|2018
1|13/08/2020|Vente|600000,00|9001.0|RES|A107|FONTAINES I PCE G DESP|13100.0|AIX EN PROVENCE|13|1||AL|36|73.0|2|2.0|Appartement|107.0|5.0|2018
1|13/08/2020|Vente|645000,00|38.0|RUE|3100|VICTOR LEYDET|13100.0|AIX EN PROVENCE|13|1||AM|115|5.0|1|2.0|Appartement|56.0|2.0|2018
